Title,Note,URL,Comment
2 Willow Road,,https://www.google.com/maps/place/2+Willow+Road/data=!4m2!3m1!1s0x48761a61e122b21d:0x96affb5e294f9905,
Saatchi Yates,,https://www.google.com/maps/place/Saatchi+Yates/data=!4m2!3m1!1s0x48760509c23339ab:0xf5037dec85cd44b7,
Rio Cinema,,https://www.google.com/maps/place/Rio+Cinema/data=!4m2!3m1!1s0x48761c8c30e2e01f:0xc6fb4861ffc911f4,
The Hill Garden and Pergola,,https://www.google.com/maps/place/The+Hill+Garden+and+Pergola/data=!4m2!3m1!1s0x48761a7a2bf05bfb:0xe38199380fee0df,
Hampstead Jazz Club,,https://www.google.com/maps/place/Hampstead+Jazz+Club/data=!4m2!3m1!1s0x48761b50edfc0dd3:0x16e2dd9783a62acd,
Rocket Gallery Cambridge Heath,,https://www.google.com/maps/place/Rocket+Gallery+Cambridge+Heath/data=!4m2!3m1!1s0x48761cb0cf498cfb:0x73c91465304f65e,
Prince Charles Cinema,,https://www.google.com/maps/place/Prince+Charles+Cinema/data=!4m2!3m1!1s0x487604d24715fcb3:0x4d14067671252aa8,
Dash The Henge Store,,https://www.google.com/maps/place/Dash+The+Henge+Store/data=!4m2!3m1!1s0x487603c6db9c16bf:0xa8f73acc5a24dff0,
The Yard Theatre,,https://www.google.com/maps/place/The+Yard+Theatre/data=!4m2!3m1!1s0x48761d6cca67e039:0xe30520bffce8814d,
FOLD,,https://www.google.com/maps/place/FOLD/data=!4m2!3m1!1s0x47d8a7fec2955555:0xe527c9bb00728b9e,
Goldsmiths Centre for Contemporary Art,,https://www.google.com/maps/place/Goldsmiths+Centre+for+Contemporary+Art/data=!4m2!3m1!1s0x487602f8582c46e9:0x72669f0495be9a7,
The Jago Dalston,,https://www.google.com/maps/place/The+Jago+Dalston/data=!4m2!3m1!1s0x48761d62a5f49d47:0x5c6840f7209e7afc,
Wellcome Collection,,https://www.google.com/maps/place/Wellcome+Collection/data=!4m2!3m1!1s0x48761b25f10b008f:0xed51ac6f865b038a,
St Dunstan in the East Church Garden,,https://www.google.com/maps/place/St+Dunstan+in+the+East+Church+Garden/data=!4m2!3m1!1s0x48760351ff31196f:0xbd3d6d2fb43ff52d,
EartH (Evolutionary Arts Hackney),,https://www.google.com/maps/place/EartH+(Evolutionary+Arts+Hackney)/data=!4m2!3m1!1s0x48761dbcfb5eb14d:0xf0c15c20ff8c2a1b,
Shreeji Newsagents,,https://www.google.com/maps/place/Shreeji+Newsagents/data=!4m2!3m1!1s0x48761acdbed071eb:0x2636f3b7e8b13999,
Guts Gallery,,https://www.google.com/maps/place/Guts+Gallery/data=!4m2!3m1!1s0x48761de97130bc61:0x28bd1e960e65cc92,
Hannah Barry Gallery,,https://www.google.com/maps/place/Hannah+Barry+Gallery/data=!4m2!3m1!1s0x487603a105255185:0x1f1955865c582637,
Rook Records - We Buy & Sell Vinyl,,https://www.google.com/maps/place/Rook+Records+-+We+Buy+%26+Sell+Vinyl/data=!4m2!3m1!1s0x48761d8f3d768d2f:0x1bd9005bf0ba5f6b,
Auto Italia,,https://www.google.com/maps/place/Auto+Italia/data=!4m2!3m1!1s0x48761b167fe6c417:0x9eb85a42df6d12d3,
Twilight Contemporary,,https://www.google.com/maps/place/Twilight+Contemporary/data=!4m2!3m1!1s0x48761d50e221c943:0x766480162fb80a89,
John Sandoe (Books) Ltd,,https://www.google.com/maps/place/John+Sandoe+(Books)+Ltd/data=!4m2!3m1!1s0x48760515acf978d5:0x6c3fc439cef79ab,
Housmans Bookshop,,https://www.google.com/maps/place/Housmans+Bookshop/data=!4m2!3m1!1s0x48761b3ff798a40f:0x87ff9bfdbb176b8,
Foster Books,,https://www.google.com/maps/place/Foster+Books/data=!4m2!3m1!1s0x48760e406abb95d3:0x26e540db558570d0,
The Bookshop On the Heath Ltd,,https://www.google.com/maps/place/The+Bookshop+On+the+Heath+Ltd/data=!4m2!3m1!1s0x47d8a9d15d4eecd7:0xf98696349574f2e0,
Gasworks,,https://www.google.com/maps/place/Gasworks/data=!4m2!3m1!1s0x48761d36126fa859:0x931cf2dac057f006,
Librairie La Page,,https://www.google.com/maps/place/Librairie+La+Page/data=!4m2!3m1!1s0x48760542a64e04c5:0xda5f59ff5ab9b717,
Lisson Gallery,,https://www.google.com/maps/place/Lisson+Gallery/data=!4m2!3m1!1s0x48761ab6baeb056d:0x3e83d4819091c5ca,
Estorick Collection of Modern Italian Art,,https://www.google.com/maps/place/Estorick+Collection+of+Modern+Italian+Art/data=!4m2!3m1!1s0x48761b6480214f87:0x80ba257b14022d92,
Large Glass,,https://www.google.com/maps/place/Large+Glass/data=!4m2!3m1!1s0x48761b6cc9ea5eef:0x4887cdcd85512fba,
Banner Repeater,,https://www.google.com/maps/place/Banner+Repeater/data=!4m2!3m1!1s0x48761cf22fe6e3e9:0xef847a1657657ba6,
Crypt Gallery,,https://www.google.com/maps/place/Crypt+Gallery/data=!4m2!3m1!1s0x48761b253a761d5b:0xd2981823811aa64f,
New River Studios,,https://www.google.com/maps/place/New+River+Studios/data=!4m2!3m1!1s0x48761c7387eace25:0x4421a48cbe0856b,
The Graffiti Tunnel,,https://www.google.com/maps/place/The+Graffiti+Tunnel/data=!4m2!3m1!1s0x487604b85f1a2991:0xc209f3d0ab15695c,
The Horse Hospital,,https://www.google.com/maps/place/The+Horse+Hospital/data=!4m2!3m1!1s0x48761b312748cf5b:0x60266559f3b5807c,
Gossamer Fog,,https://www.google.com/maps/place/Gossamer+Fog/data=!4m2!3m1!1s0x487602f306bf3397:0x1a0e79533d64224b,
South London Gallery,,https://www.google.com/maps/place/South+London+Gallery/data=!4m2!3m1!1s0x4876032a06b9cffb:0xdf1e2476b30e3bd,
Climax Books,,https://www.google.com/maps/place/Climax+Books/data=!4m2!3m1!1s0x487605145c867f1b:0xd1b4782f6a4644a,
Tenderbooks,,https://www.google.com/maps/place/Tenderbooks/data=!4m2!3m1!1s0x487604cdea776f7f:0x340208f07a118487,
Marcus Campbell Art Books,,https://www.google.com/maps/place/Marcus+Campbell+Art+Books/data=!4m2!3m1!1s0x487604aefb84d0b3:0x8083f3fdda27bdf2,
Church Of Sound,,https://www.google.com/maps/place/Church+Of+Sound/data=!4m2!3m1!1s0x48761c562b884e03:0x6b7e4650334f557b,
Peckhamplex,,https://www.google.com/maps/place/Peckhamplex/data=!4m2!3m1!1s0x487603a04ed28a3b:0x281104011b747159,
Planet Wax,,https://www.google.com/maps/place/Planet+Wax/data=!4m2!3m1!1s0x487603cb32835a4f:0x65d9d017450c0301,
FLOW PHOTOGRAPHIC,,https://www.google.com/maps/place/FLOW+PHOTOGRAPHIC/data=!4m2!3m1!1s0x48761018c1381721:0x62ecbad38f98b7f,
Unit,,https://www.google.com/maps/place/Unit/data=!4m2!3m1!1s0x487604cd4069e43d:0xff022c0ad059e640,
The Mosaic Rooms,,https://www.google.com/maps/place/The+Mosaic+Rooms/data=!4m2!3m1!1s0x48760ff3434905b1:0xd62a75206ac0b6c8,
SJQ,,https://www.google.com/maps/place/SJQ/data=!4m2!3m1!1s0x48761c8e79b95dad:0x9ee2f38a7807f69a,
Ridley Road Social Club,,https://www.google.com/maps/place/Ridley+Road+Social+Club/data=!4m2!3m1!1s0x48761da0c2d8e811:0x754bf66dee4ae1fc,
The Castle Cinema,,https://www.google.com/maps/place/The+Castle+Cinema/data=!4m2!3m1!1s0x48761d03da57994b:0x34d9cbdbc2dd0f01,
Cafe OTO,,https://www.google.com/maps/place/Cafe+OTO/data=!4m2!3m1!1s0x48761c8d8cf69e4f:0xc8cae5601942a67b,
Chisenhale Gallery,,https://www.google.com/maps/place/Chisenhale+Gallery/data=!4m2!3m1!1s0x48761d23c9e0d229:0xbb942ffca6ecbef7,
Camden Art Centre,,https://www.google.com/maps/place/Camden+Art+Centre/data=!4m2!3m1!1s0x48761a83e8eff1a1:0xa54e19bf1f519618,
Avalon Cafe,,https://www.google.com/maps/place/Avalon+Cafe/data=!4m2!3m1!1s0x4876032ba946d235:0x2910ef6ddd184cce,
Pushkin House,,https://www.google.com/maps/place/Pushkin+House/data=!4m2!3m1!1s0x48761b3479d4f143:0x5a7bbb6cc7310b08,
Highgate Cemetery,,https://www.google.com/maps/place/Highgate+Cemetery/data=!4m2!3m1!1s0x48761a4e0b8f5171:0x99fecce817187bcf,
Kenwood House,,https://www.google.com/maps/place/Kenwood+House/data=!4m2!3m1!1s0x48761a698eed934d:0xe6df23dac4e084cd,
Keats House,,https://www.google.com/maps/place/Keats+House/data=!4m2!3m1!1s0x48761a8a5daaf399:0xd36957cbb0b6ec03,
Trisha's,,https://www.google.com/maps/place/Trisha's/data=!4m2!3m1!1s0x487604d2ce3046f5:0x77800717cee037a,
The Shacklewell Arms,,https://www.google.com/maps/place/The+Shacklewell+Arms/data=!4m2!3m1!1s0x48761c8b5aa624ab:0xcada1dd9d30176d9,
Serpentine Gallery,,https://www.google.com/maps/place/Serpentine+Gallery/data=!4m2!3m1!1s0x4876054ff4580c39:0xcfc01d5539f8537b,
Matchstick Piehouse,,https://www.google.com/maps/place/Matchstick+Piehouse/data=!4m2!3m1!1s0x487602f10867df07:0x573ef63fe35e9df8,
Sir John Soane's Museum,,https://www.google.com/maps/place/Sir+John+Soane's+Museum/data=!4m2!3m1!1s0x48761b4a94370469:0xdb8be3c9759aab99,
White Cube Bermondsey,,https://www.google.com/maps/place/White+Cube+Bermondsey/data=!4m2!3m1!1s0x48761cbac5a723d9:0xd3e31c1c29116ac6,
Hayward Gallery,,https://www.google.com/maps/place/Hayward+Gallery/data=!4m2!3m1!1s0x487604b7bbfc56d9:0x4b2f0e2168e49cd5,
the Design Museum,,https://www.google.com/maps/place/the+Design+Museum/data=!4m2!3m1!1s0x48760347a6e741b3:0xae7123fe55183526,
Tate Modern,,https://www.google.com/maps/place/Tate+Modern/data=!4m2!3m1!1s0x487604a931761995:0x1ffc6f23e06b9be7,
Victoria and Albert Museum,,https://www.google.com/maps/place/Victoria+and+Albert+Museum/data=!4m2!3m1!1s0x48760543b17e57c3:0x9eb7094dfdcd651f,
Richard Green,,https://www.google.com/maps/place/Richard+Green/data=!4m2!3m1!1s0x48760529ea90abbd:0x271496075ab02efe,
Hamiltons Gallery,,https://www.google.com/maps/place/Hamiltons+Gallery/data=!4m2!3m1!1s0x4876052c22666111:0x7b86aae8d0d59db1,
Gillian Jason Gallery,,https://www.google.com/maps/place/Gillian+Jason+Gallery/data=!4m2!3m1!1s0x48761bd877bd01ff:0xad1f12975dbc06c9,
Hackney Picturehouse,,https://www.google.com/maps/place/Hackney+Picturehouse/data=!4m2!3m1!1s0x48761ce4efa0cde7:0x84e53a537d9126ef,
180 Studios,,https://www.google.com/maps/place/180+Studios/data=!4m2!3m1!1s0x487604b5a9c25e45:0x34a63d13bf45b3d3,
The Poetry Café..,,https://www.google.com/maps/place/The+Poetry+Caf%C3%A9../data=!4m2!3m1!1s0x487604ccad496ebd:0x70d56fa3c6e6caa0,
MOTH Club,,https://www.google.com/maps/place/MOTH+Club/data=!4m2!3m1!1s0x48761ce4c41f26d3:0xc0d56d30ff53f675,
Barbican Centre,,https://www.google.com/maps/place/Barbican+Centre/data=!4m2!3m1!1s0x48761b56fb64b275:0xc756e26675d21f40,
Institute of Contemporary Arts,,https://www.google.com/maps/place/Institute+of+Contemporary+Arts/data=!4m2!3m1!1s0x487604d048c70aa7:0x7c61e53746b583d5,
Whitechapel Gallery,,https://www.google.com/maps/place/Whitechapel+Gallery/data=!4m2!3m1!1s0x48761cb55f4d9bcd:0x13ae934db13227cf,
Gagosian,,https://www.google.com/maps/place/Gagosian/data=!4m2!3m1!1s0x4876052c755bdd43:0x3306b85f3eda383c,
The Photographers' Gallery,,https://www.google.com/maps/place/The+Photographers'+Gallery/data=!4m2!3m1!1s0x487604d53288eff1:0x64d8a9ab242ea059,
Freud Museum London,,https://www.google.com/maps/place/Freud+Museum+London/data=!4m2!3m1!1s0x48761a856e6d11cb:0x1bb0d1ea945d446f,
The Courtauld Gallery,,https://www.google.com/maps/place/The+Courtauld+Gallery/data=!4m2!3m1!1s0x487604ca773e4425:0xa6e95af40d4895f8,
Sarah Kravitz,,https://www.google.com/maps/place/Sarah+Kravitz/data=!4m2!3m1!1s0x487611ba41475fb3:0xb3aca077f4f8b10f,
The Vaults London,,https://www.google.com/maps/place/The+Vaults+London/data=!4m2!3m1!1s0x487604b85e548873:0x6bb5fce52b5af5b6,
Windmill Brixton,,https://www.google.com/maps/place/Windmill+Brixton/data=!4m2!3m1!1s0x4876044739d5699d:0x4f199c0a15062a0b,
606 Club,,https://www.google.com/maps/place/606+Club/data=!4m2!3m1!1s0x4876057bf934a6f9:0x5d3e939cf21f52a0,
Photobookcafe,,https://www.google.com/maps/place/Photobookcafe/data=!4m2!3m1!1s0x48761d770af86583:0xcdf014566cfd6497,
The Bath House,,https://www.google.com/maps/place/The+Bath+House/data=!4m2!3m1!1s0x48761d11bfc0f0cf:0x6ddfef3bc5d792c7,
100 Club,,https://www.google.com/maps/place/100+Club/data=!4m2!3m1!1s0x48761b2b5f9f2c1f:0x11a3cec7b9e34a70,
Close-Up Cinema,,https://www.google.com/maps/place/Close-Up+Cinema/data=!4m2!3m1!1s0x48761cb7b84f906d:0x15e0d7b63c37310b,
VFDalston,,https://www.google.com/maps/place/VFDalston/data=!4m2!3m1!1s0x48761c8b92d5c603:0x848af4129dfe3750,
The Underworld,,https://www.google.com/maps/place/The+Underworld/data=!4m2!3m1!1s0x48761ae0332de28d:0xd34cb3238ba8b732,
